search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
chicken breast,969723,Woolworths RSPCA Approved Chicken Breast Fillet,Woolworths,18.7,$11.00 / 1KG,1.3kg - 1.7kg,https://cdn0.woolworths.media/content/wowproductimages/small/969723.jpg,https://www.woolworths.com.au/shop/productdetails/969723
chicken breast,700228,Macro Chicken Breast Fillets Free Range,Macro,19.18,$13.70 / 1KG,700g - 1.4kg,https://cdn0.woolworths.media/content/wowproductimages/small/700228.jpg,https://www.woolworths.com.au/shop/productdetails/700228
chicken breast,119259,Woolworths RSPCA Approved Chicken Breast Fillet Skinless Small,Woolworths,9.43,$14.50 / 1KG,500g - 650g,https://cdn0.woolworths.media/content/wowproductimages/small/119259.jpg,https://www.woolworths.com.au/shop/productdetails/119259
chicken breast,114261,Woolworths RSPCA Approved Chicken Breast Diced,Woolworths,13.5,$13.50 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/114261.jpg,https://www.woolworths.com.au/shop/productdetails/114261
chicken breast,184628,Macro Chicken Breast Fillets Free Range,Macro,14.4,$16.00 / 1KG,400g - 900g,https://cdn0.woolworths.media/content/wowproductimages/small/184628.jpg,https://www.woolworths.com.au/shop/productdetails/184628
chicken breast,353754,Woolworths RSPCA Approved Chicken Breast Diced,Woolworths,8.5,$17.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/353754.jpg,https://www.woolworths.com.au/shop/productdetails/353754
chicken breast,902837,The Bare Bird Free Range Chicken Breast Fillets,The Bare Bird,13.5,$22.50 / 1KG,600g,https://cdn0.woolworths.media/content/wowproductimages/small/902837.jpg,https://www.woolworths.com.au/shop/productdetails/902837
chicken breast,354066,Macro Free Range Diced Chicken Breast,Macro,13,$26.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/354066.jpg,https://www.woolworths.com.au/shop/productdetails/354066
chicken breast,114251,Macro Free Range Chicken Breast Schnitzel,Macro,12,$24.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/114251.jpg,https://www.woolworths.com.au/shop/productdetails/114251
chicken breast,6002198,Macro RSPCA Approved Chicken Breast Free Range Single,Macro,7.5,$25.00 / 1KG,300g,https://cdn0.woolworths.media/content/wowproductimages/small/6002198.jpg,https://www.woolworths.com.au/shop/productdetails/6002198
chicken breast,114253,Woolworths RSPCA Approved Chicken Breast Schnitzels,Woolworths,10.5,$21.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/114253.jpg,https://www.woolworths.com.au/shop/productdetails/114253
chicken breast,114258,Woolworths RSPCA Approved Chicken Tenderloins,Woolworths,9.9,$16.50 / 1KG,600g,https://cdn0.woolworths.media/content/wowproductimages/small/114258.jpg,https://www.woolworths.com.au/shop/productdetails/114258
chicken breast,229324,Macro Organic Chicken Breast Fillet,Macro,,,300g - 600g,https://cdn0.woolworths.media/content/wowproductimages/small/229324.jpg,https://www.woolworths.com.au/shop/productdetails/229324
chicken breast,700279,Macro Chicken Tenderloins Free Range,Macro,14.18,$19.70 / 1KG,450g - 720g,https://cdn0.woolworths.media/content/wowproductimages/small/700279.jpg,https://www.woolworths.com.au/shop/productdetails/700279
chicken breast,6034899,Macro Organic Chicken Breast Strips,Macro,,,400g,https://cdn0.woolworths.media/content/wowproductimages/small/6034899.jpg,https://www.woolworths.com.au/shop/productdetails/6034899
chicken breast,24593,The Bare Bird Free Range Chicken Tenderloins Tenderloins,The Bare Bird,12.6,$22.50 / 1KG,380g - 560g,https://cdn0.woolworths.media/content/wowproductimages/small/024593.jpg,https://www.woolworths.com.au/shop/productdetails/24593
chicken breast,785788,Moira Mac's Roasted Chicken Breast Shredded From The Deli,Moira Mac's,30,$30.00 / 1KG,per 100g,https://cdn0.woolworths.media/content/wowproductimages/small/785788.jpg,https://www.woolworths.com.au/shop/productdetails/785788
chicken breast,11303,Moira Mac's Marinated BBQ Chicken Breast Sliced From The Deli,Moira Mac's,30,$30.00 / 1KG,per 100g,https://cdn0.woolworths.media/content/wowproductimages/small/011303.jpg,https://www.woolworths.com.au/shop/productdetails/11303
chicken breast,544762,Primo Chicken Breast Sliced Thinly Sliced,Primo,3.95,$49.38 / 1KG,80g,https://cdn0.woolworths.media/content/wowproductimages/small/544762.jpg,https://www.woolworths.com.au/shop/productdetails/544762
chicken breast,16349,Ingham's Chicken Breast Supreme Sliced From The Deli,Ingham's,21,$21.00 / 1KG,per 100g,https://cdn0.woolworths.media/content/wowproductimages/small/016349.jpg,https://www.woolworths.com.au/shop/productdetails/16349
chicken breast,98431,Ingham's Chicken Breast Supreme Shaved From The Deli,Ingham's,21,$21.00 / 1KG,per 100g,https://cdn0.woolworths.media/content/wowproductimages/small/098431.jpg,https://www.woolworths.com.au/shop/productdetails/98431
