search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
Bacon,71841,D'Orsogna Shortcut Bacon From the Deli,D'Orsogna,21,$21.00 / 1KG,per 125g,https://cdn0.woolworths.media/content/wowproductimages/small/071841.jpg,https://www.woolworths.com.au/shop/productdetails/71841
Bacon,714680,Hans Middle Bacon Rashers From the Deli,Hans,9.5,$9.50 / 1KG,per 170g,https://cdn0.woolworths.media/content/wowproductimages/small/714680.jpg,https://www.woolworths.com.au/shop/productdetails/714680
Bacon,746376,D'Orsogna Streaky Bacon From The Deli,D'Orsogna,23,$23.00 / 1KG,per 110g,https://cdn0.woolworths.media/content/wowproductimages/small/746376.jpg,https://www.woolworths.com.au/shop/productdetails/746376
Bacon,55375,Woolworths Shortcut Bacon,Woolworths,11,$11.00 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/055375.jpg,https://www.woolworths.com.au/shop/productdetails/55375
Bacon,509865,Woolworths Short Cut Bacon,Woolworths,3.8,$19.00 / 1KG,200g,https://cdn0.woolworths.media/content/wowproductimages/small/509865.jpg,https://www.woolworths.com.au/shop/productdetails/509865
Bacon,55374,Woolworths Shortcut Bacon,Woolworths,7.5,$15.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/055374.jpg,https://www.woolworths.com.au/shop/productdetails/55374
Bacon,48358,Woolworths Middle Bacon Middle Rashers,Woolworths,11,$11.00 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/048358.jpg,https://www.woolworths.com.au/shop/productdetails/48358
Bacon,6058495,Woolworths Middle Bacon Primo,Woolworths,7.5,$15.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/6058495.jpg,https://www.woolworths.com.au/shop/productdetails/6058495
Bacon,763087,D'Orsogna Bacon Streaky,D'Orsogna,8.4,$42.00 / 1KG,200g,https://cdn0.woolworths.media/content/wowproductimages/small/763087.jpg,https://www.woolworths.com.au/shop/productdetails/763087
Bacon,220824,Don Short Cut Rindless Bacon,Don,5.5,$27.50 / 1KG,200g,https://cdn0.woolworths.media/content/wowproductimages/small/220824.jpg,https://www.woolworths.com.au/shop/productdetails/220824
Baking Powder,7932,McKenzie's Baking Powder,McKenzie's,2.85,$2.28 / 100G,125g,https://cdn0.woolworths.media/content/wowproductimages/small/007932.jpg,https://www.woolworths.com.au/shop/productdetails/7932
Baking Powder,574616,McKenzie's Baking Powder,McKenzie's,5.55,$1.85 / 100G,300g,https://cdn0.woolworths.media/content/wowproductimages/small/574616.jpg,https://www.woolworths.com.au/shop/productdetails/574616
Baking Powder,311782,Woolworths Cocoa Powder,Woolworths,7.5,$2.00 / 100G,375g,https://cdn0.woolworths.media/content/wowproductimages/small/311782.jpg,https://www.woolworths.com.au/shop/productdetails/311782
Baking Powder,267413,Cadbury Baking Bournville Cocoa Powder,Cadbury,8.5,$3.40 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/267413.jpg,https://www.woolworths.com.au/shop/productdetails/267413
Baking Powder,1122716991,Lotus Baking Powder Gluten Free 125g,Lotus,6.73,$5.38 / 100G,125G,https://cdn0.woolworths.media/content/wowproductimages/small/1122716991.jpg,https://www.woolworths.com.au/shop/productdetails/1122716991
Baking Powder,755111,Nestle Bakers Choice Cocoa Powder,Nestle,8,$4.21 / 100G,190g,https://cdn0.woolworths.media/content/wowproductimages/small/755111.jpg,https://www.woolworths.com.au/shop/productdetails/755111
Baking Powder,449918,Queen Gelatine Powder,Queen,2.45,$6.81 / 100G,36g,https://cdn0.woolworths.media/content/wowproductimages/small/449918.jpg,https://www.woolworths.com.au/shop/productdetails/449918
Baking Powder,255257,McKenzie's Baking Aids Gelatine,McKenzie's,4.2,$4.20 / 100G,100g,https://cdn0.woolworths.media/content/wowproductimages/small/255257.jpg,https://www.woolworths.com.au/shop/productdetails/255257
Baking Powder,723948,Nestle Plaistowe Cocoa Powder Premium,Nestle,11.5,$6.39 / 100G,180g,https://cdn0.woolworths.media/content/wowproductimages/small/723948.jpg,https://www.woolworths.com.au/shop/productdetails/723948
Baking Powder,1125765645,6PK Hot Shots The Gourmet Collection Baking Powder Apple Pie 255g,Hot Shot,36.94,$0.24 / 10G,,https://cdn0.woolworths.media/content/wowproductimages/small/1125765645.jpg,https://www.woolworths.com.au/shop/productdetails/1125765645
Balsamic Vinegar,924105,The Australian Vinegar Co. Balsamic Vinegar,The Australian Vinegar Co.,3.5,$1.40 / 100ML,250mL,https://cdn0.woolworths.media/content/wowproductimages/small/924105.jpg,https://www.woolworths.com.au/shop/productdetails/924105
Balsamic Vinegar,256878,Woolworths Balsamic Vinegar,Woolworths,2.5,$0.50 / 100ML,500mL,https://cdn0.woolworths.media/content/wowproductimages/small/256878.jpg,https://www.woolworths.com.au/shop/productdetails/256878
Balsamic Vinegar,99709,Mazzetti Balsamic Vinegar Of Modena,Mazzetti,5.35,$1.07 / 100ML,500mL,https://cdn0.woolworths.media/content/wowproductimages/small/099709.jpg,https://www.woolworths.com.au/shop/productdetails/99709
Balsamic Vinegar,35467,Moro Balsamic Vinegar Of Modena,Moro,4,$0.80 / 100ML,500mL,https://cdn0.woolworths.media/content/wowproductimages/small/035467.jpg,https://www.woolworths.com.au/shop/productdetails/35467
Balsamic Vinegar,99917,Mazzetti Balsamic Vinegar Of Modena,Mazzetti,3.2,$1.28 / 100ML,250mL,https://cdn0.woolworths.media/content/wowproductimages/small/099917.jpg,https://www.woolworths.com.au/shop/productdetails/99917
